City,Condition,Temperature,Humidity,Wind Speed
Beirut,Sunny,+25°C,32%,↓6km/h
Maseru,Patchy,rain,nearby,+20°C
Monrovia,Partly,cloudy,+34°C,53%
Tripoli,Sunny,+20°C,51%,←22km/h
Vilnius,Sunny,+0°C,43%,↓18km/h
Luxembourg,Partly,cloudy,+8°C,46%
Antananarivo,Partly,cloudy,+23°C,69%
Lilongwe,Patchy,rain,nearby,+20°C
Kuala Lumpur,Patchy,rain,nearby,+25°C
Male,Sunny,+42°C,6%,←19km/h
Bamako,Sunny,+41°C,12%,←15km/h
Valletta,Sunny,+17°C,72%,↗13km/h
Majuro,Overcast,+28°C,79%,↙39km/h
Nouakchott,Sunny,+28°C,40%,↘24km/h
Mexico City,Sunny,+12°C,58%,↓8km/h
Palikir,Overcast,+26°C,89%,←39km/h
Chisinau,Sunny,+5°C,70%,↘13km/h
Monaco,Partly,cloudy,+13°C,67%
Ulaanbaatar,Clear,-8°C,67%,↓5km/h
Podgorica,Rain,shower,+14°C,63%
Rabat,Partly,cloudy,+21°C,60%
Maputo,Partly,cloudy,+26°C,61%
Naypyidaw,Clear,+27°C,29%,↖8km/h
Windhoek,Patchy,rain,nearby,+17°C
Kathmandu,Partly,cloudy,+20°C,35%
Amsterdam,Sunny,+10°C,43%,←21km/h
Wellington,Partly,cloudy,+20°C,78%
Managua,Partly,cloudy,+29°C,66%
Niamey,Sunny,+43°C,6%,←24km/h
Abuja,Thunderstorm,+36°C,37%,↙5km/h
Pyongyang,Heavy,snow,-1°C,82%
Oslo,Sunny,+5°C,38%,→6km/h
Muscat,Partly,cloudy,+27°C,39%
Islamabad,Clear,+15°C,39%,↓8km/h
Panama City,Sunny,+14°C,26%,↘28km/h
Port Moresby,Rain,shower,+25°C,100%
Asunción,Partly,cloudy,+30°C,49%
Lima,Sunny,+22°C,78%,↗8km/h
Manila,Partly,cloudy,+28°C,70%
Warsaw,Sunny,+4°C,22%,↓18km/h
Lisbon,Light,rain,shower,+14°C
Doha,Clear,+24°C,47%,↙16km/h
Bucharest,Overcast,+7°C,76%,↙24km/h
Moscow,Partly,cloudy,-2°C,43%
Kigali,Partly,cloudy,+28°C,40%
Apia,Partly,cloudy,+26°C,84%
San Marino,Partly,cloudy,+13°C,47%
Riyadh,Patchy,rain,nearby,+24°C
Dakar,Sunny,+24°C,61%,↓32km/h
Belgrade,Sunny,+5°C,75%,↘21km/h
Victoria,Clear,+11°C,73%,↑12km/h
Freetown,Partly,cloudy,+29°C,66%
Singapore,Partly,cloudy,+28°C,74%
Bratislava,Sunny,+3°C,41%,↓28km/h
Ljubljana,Light,rain,shower,+4°C
Honiara,Patchy,rain,nearby,+26°C
Mogadishu,Clear,+29°C,75%,↖23km/h
Pretoria,Partly,cloudy,+21°C,64%
Seoul,Light,snow,+1°C,93%
Juba,Patchy,rain,nearby,+36°C
Madrid,Overcast,+7°C,93%,↙10km/h
Colombo,Light,rain,shower,+26°C
Khartoum,Clear,+36°C,7%,↘20km/h
Paramaribo,Partly,cloudy,+32°C,56%
Stockholm,Partly,cloudy,+6°C,36%
Damascus,Partly,cloudy,+25°C,14%
Taipei,Partly,cloudy,+13°C,67%
Dushanbe,Clear,+15°C,51%,↙5km/h
Dodoma,Partly,cloudy,+27°C,54%
Bangkok,Partly,cloudy,+30°C,75%
Lomé,Partly,cloudy,+32°C,67%
Tunis,Sunny,+25°C,18%,→13km/h
Ankara,Partly,cloudy,+22°C,23%
Ashgabat,Clear,+20°C,26%,↖9km/h
Kampala,Partly,cloudy,+25°C,65%
Kyiv,Light,snow,showers,+3°C
Abu Dhabi,Clear,+23°C,73%,↘15km/h
London,Partly,cloudy,+8°C,57%
Washington,Partly,cloudy,+12°C,49%
Montevideo,Sunny,+25°C,57%,↑4km/h
Tashkent,Clear,+18°C,32%,↓9km/h
Port Vila,Partly,cloudy,+22°C,100%
Vatican City,Partly,cloudy,+14°C,67%
Caracas,Sunny,+28°C,74%,↓4km/h
Hanoi,Clear,+18°C,64%,↙9km/h
Sana'a,Patchy,rain,nearby,+18°C
Lusaka,Patchy,rain,nearby,+21°C
Harare,Patchy,rain,nearby,+18°C
